EPC,Ant,Time,Frequency,RSSI,Phase
E2801160600002073A4A0529,1,1970/1/5 19:34,902750,-50,165
E2801160600002073A4A0529,1,1970/1/5 19:34,902750,-50,165
E2801160600002073A4A0529,1,1970/1/5 19:34,902750,-50,165
E2801160600002073A4A0529,1,1970/1/5 19:34,902750,-50,165
E2801160600002073A4A0519,2,1970/1/5 19:34,902750,-71,84
E2801160600002073A4A0519,2,1970/1/5 19:34,902750,-71,84
E2801160600002073A4A0519,2,1970/1/5 19:34,902750,-71,84
E2801160600002073A4A0519,2,1970/1/5 19:34,902750,-71,84
E2801160600002073A4A0519,2,1970/1/5 19:34,902750,-71,84
E2801160600002073A4A0519,2,1970/1/5 19:34,902750,-71,84
E2801160600002073A4A0519,2,1970/1/5 19:34,902750,-71,84
E2801160600002073A4A0519,2,1970/1/5 19:34,902750,-71,84
E2801160600002073A4A0519,2,1970/1/5 19:34,902750,-71,84
E2801160600002073A4A0519,2,1970/1/5 19:34,902750,-71,84
E2801160600002073A4A0519,2,1970/1/5 19:34,902750,-71,84
E2801160600002073A4A0529,2,1970/1/5 19:34,902750,-64,104
E2801160600002073A4A0529,2,1970/1/5 19:34,902750,-64,104
E2801160600002073A4A0529,2,1970/1/5 19:34,902750,-64,104
E2801160600002073A4A0529,2,1970/1/5 19:34,902750,-64,104
E2801160600002073A4A0529,2,1970/1/5 19:34,902750,-64,104
E2801160600002073A4A0529,2,1970/1/5 19:34,902750,-64,104
E2801160600002073A4A0529,2,1970/1/5 19:34,902750,-64,104
E2801160600002073A4A0529,2,1970/1/5 19:34,902750,-64,104
E2801160600002073A4A0529,2,1970/1/5 19:34,902750,-64,104
E2801160600002073A4A0529,2,1970/1/5 19:34,902750,-64,104
E2801160600002073A4A0529,2,1970/1/5 19:34,902750,-64,104
E2801160600002073A4A0529,1,1970/1/5 19:34,907750,-57,59
E2801160600002073A4A0529,1,1970/1/5 19:34,907750,-57,59
E2801160600002073A4A0529,1,1970/1/5 19:34,907750,-57,59
E2801160600002073A4A0529,1,1970/1/5 19:34,907750,-57,59
E2801160600002073A4A0529,1,1970/1/5 19:34,907750,-57,59
E2801160600002073A4A0529,1,1970/1/5 19:34,907750,-57,59
E2801160600002073A4A0529,1,1970/1/5 19:34,907750,-57,59
E2801160600002073A4A0529,1,1970/1/5 19:34,907750,-57,59
E2801160600002073A4A0529,1,1970/1/5 19:34,907750,-57,59
E2801160600002073A4A0529,1,1970/1/5 19:34,907750,-57,59
E2801160600002073A4A0529,1,1970/1/5 19:34,907750,-57,59
E2801160600002073A4A0519,1,1970/1/5 19:34,907750,-63,115
E2801160600002073A4A0519,1,1970/1/5 19:34,907750,-63,115
E2801160600002073A4A0519,1,1970/1/5 19:34,907750,-63,115
E2801160600002073A4A0519,1,1970/1/5 19:34,907750,-63,115
E2801160600002073A4A0519,1,1970/1/5 19:34,907750,-63,115
E2801160600002073A4A0519,1,1970/1/5 19:34,907750,-63,115
E2801160600002073A4A0519,1,1970/1/5 19:34,907750,-63,115
E2801160600002073A4A0519,1,1970/1/5 19:34,907750,-63,115
