EPC,Ant,Time,Frequency,RSSI,Phase
E2801160600002073A4A0519,1,25573.80347,912750,-51,59
E2801160600002073A4A0529,1,20:17:00,912750,-49,22
E2801160600002073A4A0519,2,21:17:00,912750,-56,101
E2801160600002073A4A0529,2,22:17:00,912750,-67,73
E2801160600002073A4A0529,3,23:17:00,912750,-58,8
E2801160600002073A4A0519,3,0:17:00,912750,-55,16
E2801160600002073A4A0529,1,1:17:00,912750,-51,61
E2801160600002073A4A0519,1,25574.09514,912750,-56,92
E2801160600002073A4A0519,2,3:17:00,912750,-55,98
E2801160600002073A4A0529,2,4:17:00,912750,-65,98
E2801160600002073A4A0529,3,5:17:00,912750,-59,5
E2801160600002073A4A0519,3,6:17:00,912750,-55,11
E2801160600002073A4A0529,1,7:17:00,912750,-61,0
E2801160600002073A4A0519,1,25574.34514,912750,-69,25
E2801160600002073A4A0529,2,9:17:00,912750,-66,101
E2801160600002073A4A0519,2,10:17:00,912750,-55,78
E2801160600002073A4A0529,3,11:17:00,918750,-70,157
E2801160600002073A4A0519,3,12:17:00,918750,-57,8
E2801160600002073A4A0519,1,25574.55347,918750,-74,16
E2801160600002073A4A0529,1,14:17:00,918750,-65,174
E2801160600002073A4A0529,2,15:17:00,918750,-79,143
E2801160600002073A4A0519,2,16:17:00,918750,-55,120
E2801160600002073A4A0519,3,17:17:00,918750,-56,174
E2801160600002073A4A0529,3,18:17:00,918750,-68,132
E2801160600002073A4A0529,1,19:17:00,918750,-63,129
E2801160600002073A4A0519,1,25574.84514,918750,-62,25
E2801160600002073A4A0519,2,25574.88681,918750,-62,112
E2801160600002073A4A0529,2,25574.92847,918750,-77,168
E2801160600002073A4A0519,3,25574.97014,918750,-61,143
E2801160600002073A4A0529,3,25575.01181,918750,-66,151
E2801160600002073A4A0519,1,25575.05347,918750,-65,84
E2801160600002073A4A0529,1,25575.09514,918750,-70,140
E2801160600002073A4A0519,2,25575.13681,926250,-70,90
E2801160600002073A4A0529,2,25575.17847,926250,-72,146
E2801160600002073A4A0519,3,25575.22014,926250,-62,87
E2801160600002073A4A0529,3,25575.26181,926250,-64,115
E2801160600002073A4A0529,1,25575.30347,926250,-68,92
E2801160600002073A4A0519,1,25575.34514,926250,-68,168
E2801160600002073A4A0529,2,25575.38681,926250,-72,118
E2801160600002073A4A0519,2,25575.42847,926250,-71,78
E2801160600002073A4A0529,3,25575.47014,926250,-63,126
E2801160600002073A4A0519,3,25575.51181,926250,-62,112
E2801160600002073A4A0529,1,25575.55347,926250,-70,16
E2801160600002073A4A0519,1,25575.59514,926250,-64,160
E2801160600002073A4A0519,1,25575.63681,921250,-67,87
E2801160600002073A4A0529,1,25575.67847,921250,-68,146
E2801160600002073A4A0519,2,25575.72014,921250,-74,30
E2801160600002073A4A0529,2,25575.76181,921250,-73,19
E2801160600002073A4A0519,3,25575.80347,921250,-63,11
E2801160600002073A4A0529,3,25575.84514,921250,-74,5
E2801160600002073A4A0529,1,25575.88681,921250,-61,163
E2801160600002073A4A0519,1,25575.92847,921250,-75,95
E2801160600002073A4A0519,2,25575.97014,921250,-73,160
E2801160600002073A4A0529,2,25576.01181,921250,-82,61
E2801160600002073A4A0529,3,25576.05347,921250,-72,126
E2801160600002073A4A0519,3,25576.09514,921250,-62,151
E2801160600002073A4A0519,1,25576.13681,921250,-67,11
E2801160600002073A4A0529,1,25576.17847,921250,-61,160
E2801160600002073A4A0529,2,25576.22014,921250,-80,78
E2801160600002073A4A0519,2,25576.26181,921250,-74,11
E2801160600002073A4A0529,3,25576.30347,905750,-67,81
E2801160600002073A4A0519,3,25576.34514,905750,-62,137
E2801160600002073A4A0519,1,25576.38681,905750,-55,61
E2801160600002073A4A0529,1,25576.42847,905750,-63,154
E2801160600002073A4A0539,1,25576.47014,905750,-80,126
E2801160600002073A4A0529,2,25576.51181,905750,-70,11
E2801160600002073A4A0519,2,25576.55347,905750,-74,16
E2801160600002073A4A0519,3,25576.59514,905750,-66,42
E2801160600002073A4A0529,3,25576.63681,905750,-63,33
E2801160600002073A4A0519,1,25576.67847,905750,-53,67
E2801160600002073A4A0529,1,25576.72014,905750,-61,151
E2801160600002073A4A0539,1,25576.76181,905750,-80,129
E2801160600002073A4A0519,2,25576.80347,905750,-74,149
E2801160600002073A4A0529,2,25576.84514,905750,-76,47
E2801160600002073A4A0519,3,25576.88681,905750,-68,30
E2801160600002073A4A0529,3,25576.92847,905750,-68,115
E2801160600002073A4A0519,1,25576.97014,915250,-59,75
E2801160600002073A4A0529,1,25577.01181,915250,-65,165
E2801160600002073A4A0539,1,25577.05347,915250,-75,84
E2801160600002073A4A0529,2,25577.09514,915250,-76,126
E2801160600002073A4A0519,2,25577.13681,915250,-70,106
E2801160600002073A4A0529,3,25577.17847,915250,-65,36
E2801160600002073A4A0519,3,25577.22014,915250,-69,25
E2801160600002073A4A0529,1,25577.26181,915250,-64,151
E2801160600002073A4A0519,1,25577.30347,915250,-60,75
E2801160600002073A4A0539,1,25577.34514,915250,-76,61
E2801160600002073A4A0529,2,25577.38681,915250,-74,149
E2801160600002073A4A0519,2,25577.42847,915250,-70,106
E2801160600002073A4A0529,1,25577.47014,904750,-62,36
E2801160600002073A4A0519,1,25577.51181,904750,-59,118
E2801160600002073A4A0539,1,25577.55347,904750,-79,143
E2801160600002073A4A0529,2,25577.59514,904750,-74,59
E2801160600002073A4A0519,2,25577.63681,904750,-74,171
E2801160600002073A4A0519,3,25577.67847,904750,-68,67
E2801160600002073A4A0529,3,25577.72014,904750,-65,115
E2801160600002073A4A0529,1,25577.76181,904750,-62,22
E2801160600002073A4A0519,1,25577.80347,904750,-58,129
E2801160600002073A4A0539,1,25577.84514,904750,-80,177
E2801160600002073A4A0529,2,25577.88681,904750,-68,56
E2801160600002073A4A0519,2,25577.92847,904750,-74,30
E2801160600002073A4A0529,3,25577.97014,904750,-65,67
E2801160600002073A4A0519,3,25578.01181,904750,-69,45
E2801160600002073A4A0529,1,25578.05347,904750,-49,106
E2801160600002073A4A0519,1,25578.09514,904750,-54,120
E2801160600002073A4A0539,1,25578.13681,904750,-79,168
E2801160600002073A4A0529,2,25578.17847,911250,-66,75
E2801160600002073A4A0519,2,25578.22014,911250,-72,87
E2801160600002073A4A0519,3,25578.26181,911250,-70,56
E2801160600002073A4A0529,3,25578.30347,911250,-65,78
E2801160600002073A4A0529,1,25578.34514,911250,-49,143
E2801160600002073A4A0519,1,25578.38681,911250,-53,149
E2801160600002073A4A0519,2,25578.42847,911250,-74,64
E2801160600002073A4A0529,2,25578.47014,911250,-68,90
E2801160600002073A4A0529,3,25578.51181,911250,-69,151
E2801160600002073A4A0519,3,25578.55347,911250,-70,92
E2801160600002073A4A0519,1,25578.59514,911250,-52,132
E2801160600002073A4A0529,1,25578.63681,911250,-47,120
E2801160600002073A4A0529,2,25578.67847,911250,-66,101
E2801160600002073A4A0519,2,25578.72014,911250,-70,95
E2801160600002073A4A0519,3,25578.76181,911250,-69,87
E2801160600002073A4A0529,3,25578.80347,911250,-64,115
E2801160600002073A4A0529,1,25578.84514,916750,-53,5
E2801160600002073A4A0519,1,25578.88681,916750,-56,22
E2801160600002073A4A0519,2,25578.92847,916750,-67,118
E2801160600002073A4A0529,2,25578.97014,916750,-63,126
E2801160600002073A4A0519,3,25579.01181,916750,-69,106
E2801160600002073A4A0529,3,25579.05347,916750,-64,129
E2801160600002073A4A0519,1,25579.09514,916750,-55,25
E2801160600002073A4A0529,1,25579.13681,916750,-53,19
E2801160600002073A4A0519,2,25579.17847,916750,-67,123
E2801160600002073A4A0529,2,25579.22014,916750,-63,123
E2801160600002073A4A0519,3,25579.26181,916750,-68,123
E2801160600002073A4A0529,3,25579.30347,916750,-62,163
E2801160600002073A4A0519,1,25579.34514,926750,-53,174
E2801160600002073A4A0529,1,25579.38681,926750,-53,2
E2801160600002073A4A0519,2,25579.42847,926750,-66,53
E2801160600002073A4A0529,2,25579.47014,926750,-62,84
E2801160600002073A4A0529,3,25579.51181,926750,-62,87
E2801160600002073A4A0519,3,25579.55347,926750,-65,59
E2801160600002073A4A0519,1,25579.59514,926750,-53,177
E2801160600002073A4A0529,1,25579.63681,926750,-52,177
E2801160600002073A4A0529,2,25579.67847,926750,-62,61
E2801160600002073A4A0519,2,25579.72014,926750,-66,70
E2801160600002073A4A0519,3,25579.76181,926750,-66,67
E2801160600002073A4A0529,3,25579.80347,926750,-61,84
E2801160600002073A4A0519,1,25579.84514,926750,-53,174
E2801160600002073A4A0529,1,25579.88681,926750,-52,168
E2801160600002073A4A0519,2,25579.92847,926750,-67,50
E2801160600002073A4A0529,2,25579.97014,926750,-62,81
E2801160600002073A4A0529,3,25580.01181,921750,-61,19
E2801160600002073A4A0519,3,25580.05347,921750,-67,0
E2801160600002073A4A0519,1,25580.09514,921750,-53,75
E2801160600002073A4A0529,1,25580.13681,921750,-51,109
E2801160600002073A4A0519,2,25580.17847,921750,-68,168
E2801160600002073A4A0529,2,25580.22014,921750,-64,16
E2801160600002073A4A0519,3,25580.26181,921750,-66,177
