EPC,Ant,Time,Frequency,RSSI,Phase
E2801160600002073A4A0519,1,1970/1/5 19:31,918250,-59,36
E2801160600002073A4A0519,1,1970/1/5 19:31,918250,-59,36
E2801160600002073A4A0519,1,1970/1/5 19:31,918250,-59,36
E2801160600002073A4A0519,1,1970/1/5 19:31,918250,-59,36
E2801160600002073A4A0519,1,1970/1/5 19:31,918250,-59,36
E2801160600002073A4A0519,1,1970/1/5 19:31,918250,-59,36
E2801160600002073A4A0519,1,1970/1/5 19:31,918250,-59,36
E2801160600002073A4A0519,1,1970/1/5 19:31,918250,-59,36
E2801160600002073A4A0529,1,1970/1/5 19:31,918250,-56,22
E2801160600002073A4A0529,1,1970/1/5 19:31,918250,-56,22
E2801160600002073A4A0529,1,1970/1/5 19:31,918250,-56,22
E2801160600002073A4A0529,1,1970/1/5 19:31,918250,-56,22
E2801160600002073A4A0529,1,1970/1/5 19:31,918250,-56,22
E2801160600002073A4A0529,1,1970/1/5 19:31,918250,-56,22
E2801160600002073A4A0529,1,1970/1/5 19:31,918250,-56,22
E2801160600002073A4A0529,1,1970/1/5 19:31,918250,-56,22
E2801160600002073A4A0519,2,1970/1/5 19:31,918250,-70,118
E2801160600002073A4A0519,2,1970/1/5 19:31,918250,-70,118
E2801160600002073A4A0519,2,1970/1/5 19:31,918250,-70,118
E2801160600002073A4A0519,2,1970/1/5 19:31,918250,-70,118
E2801160600002073A4A0519,2,1970/1/5 19:31,918250,-70,118
E2801160600002073A4A0519,2,1970/1/5 19:31,918250,-70,118
E2801160600002073A4A0519,2,1970/1/5 19:31,918250,-70,118
E2801160600002073A4A0519,2,1970/1/5 19:31,918250,-70,118
E2801160600002073A4A0529,2,1970/1/5 19:31,918250,-64,101
E2801160600002073A4A0529,2,1970/1/5 19:31,918250,-64,101
E2801160600002073A4A0529,2,1970/1/5 19:31,918250,-64,101
E2801160600002073A4A0529,2,1970/1/5 19:31,918250,-64,101
E2801160600002073A4A0529,2,1970/1/5 19:31,918250,-64,101
E2801160600002073A4A0529,2,1970/1/5 19:31,918250,-64,101
E2801160600002073A4A0529,2,1970/1/5 19:31,918250,-64,101
E2801160600002073A4A0529,2,1970/1/5 19:31,918250,-64,101
E2801160600002073A4A0529,3,1970/1/5 19:31,918250,-66,118
E2801160600002073A4A0529,3,1970/1/5 19:31,918250,-66,118
E2801160600002073A4A0529,3,1970/1/5 19:31,918250,-66,118
E2801160600002073A4A0529,3,1970/1/5 19:31,918250,-66,118
E2801160600002073A4A0529,3,1970/1/5 19:31,918250,-66,118
E2801160600002073A4A0529,3,1970/1/5 19:31,918250,-66,118
E2801160600002073A4A0529,3,1970/1/5 19:31,918250,-66,118
E2801160600002073A4A0529,3,1970/1/5 19:31,918250,-66,118
E2801160600002073A4A0519,3,1970/1/5 19:31,918250,-73,115
E2801160600002073A4A0519,3,1970/1/5 19:31,918250,-73,115
E2801160600002073A4A0519,3,1970/1/5 19:31,918250,-73,115
E2801160600002073A4A0519,3,1970/1/5 19:31,918250,-73,115
E2801160600002073A4A0519,3,1970/1/5 19:31,918250,-73,115
E2801160600002073A4A0519,3,1970/1/5 19:31,918250,-73,115
E2801160600002073A4A0519,3,1970/1/5 19:31,918250,-73,115
E2801160600002073A4A0519,3,1970/1/5 19:31,918250,-73,115
E2801160600002073A4A0519,1,1970/1/5 19:31,918250,-63,33
E2801160600002073A4A0519,1,1970/1/5 19:31,918250,-63,33
E2801160600002073A4A0519,1,1970/1/5 19:31,918250,-63,33
E2801160600002073A4A0519,1,1970/1/5 19:31,918250,-63,33
E2801160600002073A4A0519,1,1970/1/5 19:31,918250,-63,33
E2801160600002073A4A0519,1,1970/1/5 19:31,918250,-63,33
E2801160600002073A4A0519,1,1970/1/5 19:31,918250,-63,33
E2801160600002073A4A0519,1,1970/1/5 19:31,918250,-63,33
E2801160600002073A4A0529,1,1970/1/5 19:31,918250,-60,157
E2801160600002073A4A0529,1,1970/1/5 19:31,918250,-60,157
E2801160600002073A4A0529,1,1970/1/5 19:31,918250,-60,157
E2801160600002073A4A0529,1,1970/1/5 19:31,918250,-60,157
E2801160600002073A4A0529,1,1970/1/5 19:31,918250,-60,157
E2801160600002073A4A0529,1,1970/1/5 19:31,918250,-60,157
E2801160600002073A4A0529,1,1970/1/5 19:31,918250,-60,157
E2801160600002073A4A0529,1,1970/1/5 19:31,918250,-60,157
E2801160600002073A4A0519,2,1970/1/5 19:31,918250,-69,120
E2801160600002073A4A0519,2,1970/1/5 19:31,918250,-69,120
E2801160600002073A4A0519,2,1970/1/5 19:31,918250,-69,120
E2801160600002073A4A0519,2,1970/1/5 19:31,918250,-69,120
E2801160600002073A4A0519,2,1970/1/5 19:31,918250,-69,120
E2801160600002073A4A0519,2,1970/1/5 19:31,918250,-69,120
E2801160600002073A4A0519,2,1970/1/5 19:31,918250,-69,120
E2801160600002073A4A0519,2,1970/1/5 19:31,918250,-69,120
E2801160600002073A4A0529,2,1970/1/5 19:31,918250,-64,118
E2801160600002073A4A0529,2,1970/1/5 19:31,918250,-64,118
E2801160600002073A4A0529,2,1970/1/5 19:31,918250,-64,118
E2801160600002073A4A0529,2,1970/1/5 19:31,918250,-64,118
E2801160600002073A4A0529,2,1970/1/5 19:31,918250,-64,118
E2801160600002073A4A0529,2,1970/1/5 19:31,918250,-64,118
E2801160600002073A4A0529,2,1970/1/5 19:31,918250,-64,118
E2801160600002073A4A0529,2,1970/1/5 19:31,918250,-64,118
E2801160600002073A4A0529,3,1970/1/5 19:31,918250,-73,160
E2801160600002073A4A0529,3,1970/1/5 19:31,918250,-73,160
E2801160600002073A4A0529,3,1970/1/5 19:31,918250,-73,160
E2801160600002073A4A0529,3,1970/1/5 19:31,918250,-73,160
E2801160600002073A4A0529,3,1970/1/5 19:31,918250,-73,160
E2801160600002073A4A0529,3,1970/1/5 19:31,918250,-73,160
E2801160600002073A4A0529,3,1970/1/5 19:31,918250,-73,160
E2801160600002073A4A0529,3,1970/1/5 19:31,918250,-73,160
E2801160600002073A4A0519,3,1970/1/5 19:31,918250,-78,28
E2801160600002073A4A0519,3,1970/1/5 19:31,918250,-78,28
E2801160600002073A4A0519,3,1970/1/5 19:31,918250,-78,28
E2801160600002073A4A0519,3,1970/1/5 19:31,918250,-78,28
E2801160600002073A4A0519,3,1970/1/5 19:31,918250,-78,28
E2801160600002073A4A0519,3,1970/1/5 19:31,918250,-78,28
E2801160600002073A4A0519,3,1970/1/5 19:31,918250,-78,28
E2801160600002073A4A0519,3,1970/1/5 19:31,918250,-78,28
E2801160600002073A4A0529,1,1970/1/5 19:31,918250,-55,132
E2801160600002073A4A0529,1,1970/1/5 19:31,918250,-55,132
E2801160600002073A4A0529,1,1970/1/5 19:31,918250,-55,132
E2801160600002073A4A0529,1,1970/1/5 19:31,918250,-55,132
E2801160600002073A4A0529,1,1970/1/5 19:31,918250,-55,132
E2801160600002073A4A0529,1,1970/1/5 19:31,918250,-55,132
E2801160600002073A4A0529,1,1970/1/5 19:31,918250,-55,132
E2801160600002073A4A0529,1,1970/1/5 19:31,918250,-55,132
E2801160600002073A4A0519,1,1970/1/5 19:31,918250,-62,174
E2801160600002073A4A0519,1,1970/1/5 19:31,918250,-62,174
E2801160600002073A4A0519,1,1970/1/5 19:31,918250,-62,174
E2801160600002073A4A0519,1,1970/1/5 19:31,918250,-62,174
E2801160600002073A4A0519,1,1970/1/5 19:31,918250,-62,174
E2801160600002073A4A0519,1,1970/1/5 19:31,918250,-62,174
E2801160600002073A4A0519,1,1970/1/5 19:31,918250,-62,174
E2801160600002073A4A0519,1,1970/1/5 19:31,918250,-62,174
E2801160600002073A4A0529,2,1970/1/5 19:31,918250,-69,118
E2801160600002073A4A0529,2,1970/1/5 19:31,918250,-69,118
E2801160600002073A4A0529,2,1970/1/5 19:31,918250,-69,118
E2801160600002073A4A0529,2,1970/1/5 19:31,918250,-69,118
E2801160600002073A4A0529,2,1970/1/5 19:31,918250,-69,118
E2801160600002073A4A0529,2,1970/1/5 19:31,918250,-69,118
E2801160600002073A4A0529,2,1970/1/5 19:31,918250,-69,118
E2801160600002073A4A0529,2,1970/1/5 19:31,918250,-69,118
E2801160600002073A4A0519,2,1970/1/5 19:31,918250,-73,143
E2801160600002073A4A0519,2,1970/1/5 19:31,918250,-73,143
E2801160600002073A4A0519,2,1970/1/5 19:31,918250,-73,143
E2801160600002073A4A0519,2,1970/1/5 19:31,918250,-73,143
E2801160600002073A4A0519,2,1970/1/5 19:31,918250,-73,143
E2801160600002073A4A0519,2,1970/1/5 19:31,918250,-73,143
E2801160600002073A4A0519,2,1970/1/5 19:31,918250,-73,143
E2801160600002073A4A0519,2,1970/1/5 19:31,918250,-73,143
E2801160600002073A4A0519,3,1970/1/5 19:31,923250,-67,67
E2801160600002073A4A0519,3,1970/1/5 19:31,923250,-67,67
E2801160600002073A4A0519,3,1970/1/5 19:31,923250,-67,67
E2801160600002073A4A0519,3,1970/1/5 19:31,923250,-67,67
E2801160600002073A4A0519,3,1970/1/5 19:31,923250,-67,67
E2801160600002073A4A0519,3,1970/1/5 19:31,923250,-67,67
E2801160600002073A4A0519,3,1970/1/5 19:31,923250,-67,67
E2801160600002073A4A0519,3,1970/1/5 19:31,923250,-67,67
E2801160600002073A4A0529,3,1970/1/5 19:31,923250,-63,104
E2801160600002073A4A0529,3,1970/1/5 19:31,923250,-63,104
E2801160600002073A4A0529,3,1970/1/5 19:31,923250,-63,104
E2801160600002073A4A0529,3,1970/1/5 19:31,923250,-63,104
E2801160600002073A4A0529,3,1970/1/5 19:31,923250,-63,104
E2801160600002073A4A0529,3,1970/1/5 19:31,923250,-63,104
E2801160600002073A4A0529,3,1970/1/5 19:31,923250,-63,104
E2801160600002073A4A0529,3,1970/1/5 19:31,923250,-63,104
E2801160600002073A4A0529,1,1970/1/5 19:31,923250,-62,8
E2801160600002073A4A0529,1,1970/1/5 19:31,923250,-62,8
E2801160600002073A4A0529,1,1970/1/5 19:31,923250,-62,8
E2801160600002073A4A0529,1,1970/1/5 19:31,923250,-62,8
E2801160600002073A4A0529,1,1970/1/5 19:31,923250,-62,8
E2801160600002073A4A0529,1,1970/1/5 19:31,923250,-62,8
E2801160600002073A4A0529,1,1970/1/5 19:31,923250,-62,8
E2801160600002073A4A0529,1,1970/1/5 19:31,923250,-62,8
E2801160600002073A4A0519,1,1970/1/5 19:31,923250,-66,101
E2801160600002073A4A0519,1,1970/1/5 19:31,923250,-66,101
E2801160600002073A4A0519,1,1970/1/5 19:31,923250,-66,101
E2801160600002073A4A0519,1,1970/1/5 19:31,923250,-66,101
E2801160600002073A4A0519,1,1970/1/5 19:31,923250,-66,101
E2801160600002073A4A0519,1,1970/1/5 19:31,923250,-66,101
