EPC,Ant,Time,Frequency,RSSI,Phase,,,
E2801160600002073A4A0529,2,1970/1/5 17:57,902750,-66,95,,,
E2801160600002073A4A0529,2,1970/1/5 17:57,902750,-66,95,,,
E2801160600002073A4A0529,2,1970/1/5 17:57,902750,-66,95,,,
E2801160600002073A4A0529,2,1970/1/5 17:57,902750,-66,95,,,
E2801160600002073A4A0519,2,1970/1/5 17:57,902750,-60,106,,,
E2801160600002073A4A0519,2,1970/1/5 17:57,902750,-60,106,,,
E2801160600002073A4A0519,2,1970/1/5 17:57,902750,-60,106,,,
E2801160600002073A4A0519,2,1970/1/5 17:57,902750,-60,106,,,
E2801160600002073A4A0519,2,1970/1/5 17:57,902750,-60,106,,,
E2801160600002073A4A0519,2,1970/1/5 17:57,902750,-60,106,,,
E2801160600002073A4A0519,2,1970/1/5 17:57,902750,-60,106,,,
E2801160600002073A4A0519,2,1970/1/5 17:57,902750,-60,106,,,
E2801160600002073A4A0519,2,1970/1/5 17:57,902750,-60,106,,,
E2801160600002073A4A0519,2,1970/1/5 17:57,902750,-60,106,,,
E2801160600002073A4A0519,1,1970/1/5 17:57,907750,-38,115,,,
E2801160600002073A4A0519,1,1970/1/5 17:57,907750,-38,115,,,
E2801160600002073A4A0519,1,1970/1/5 17:57,907750,-38,115,,,
E2801160600002073A4A0519,1,1970/1/5 17:57,907750,-38,115,,,
E2801160600002073A4A0519,1,1970/1/5 17:57,907750,-38,115,,,
E2801160600002073A4A0519,1,1970/1/5 17:57,907750,-38,115,,,
E2801160600002073A4A0519,1,1970/1/5 17:57,907750,-38,115,,,
E2801160600002073A4A0519,1,1970/1/5 17:57,907750,-38,115,,,
E2801160600002073A4A0519,1,1970/1/5 17:57,907750,-38,115,,,
E2801160600002073A4A0519,1,1970/1/5 17:57,907750,-38,115,,,
E2801160600002073A4A0529,1,1970/1/5 17:57,907750,-36,120,,,
E2801160600002073A4A0529,1,1970/1/5 17:57,907750,-36,120,,,
E2801160600002073A4A0529,1,1970/1/5 17:57,907750,-36,120,,,
E2801160600002073A4A0529,1,1970/1/5 17:57,907750,-36,120,,,
E2801160600002073A4A0529,1,1970/1/5 17:57,907750,-36,120,,,
E2801160600002073A4A0529,1,1970/1/5 17:57,907750,-36,120,,,
E2801160600002073A4A0529,1,1970/1/5 17:57,907750,-36,120,,,
E2801160600002073A4A0529,1,1970/1/5 17:57,907750,-36,120,,,
E2801160600002073A4A0529,1,1970/1/5 17:57,907750,-36,120,,,
E2801160600002073A4A0529,1,1970/1/5 17:57,907750,-36,120,,,
E2801160600002073A4A0539,1,1970/1/5 17:57,907750,-74,16,,,
E2801160600002073A4A0539,1,1970/1/5 17:57,907750,-74,16,,,
E2801160600002073A4A0539,1,1970/1/5 17:57,907750,-74,16,,,
E2801160600002073A4A0539,1,1970/1/5 17:57,907750,-74,16,,,
E2801160600002073A4A0539,1,1970/1/5 17:57,907750,-74,16,,,
E2801160600002073A4A0539,1,1970/1/5 17:57,907750,-74,16,,,
E2801160600002073A4A0539,1,1970/1/5 17:57,907750,-74,16,,,
E2801160600002073A4A0539,1,1970/1/5 17:57,907750,-74,16,,,
E2801160600002073A4A0539,1,1970/1/5 17:57,907750,-74,16,,,
E2801160600002073A4A0539,1,1970/1/5 17:57,907750,-74,16,,,
E2801160600002073A4A0529,2,1970/1/5 17:57,907750,-63,149,,,
