EPC,Ant,Time,Frequency,RSSI,Phase,,,
E2801160600002073A4A0519,2,1970/1/5 17:58,915750,-56,140,,,
E2801160600002073A4A0519,2,1970/1/5 17:58,915750,-56,140,,,
E2801160600002073A4A0519,2,1970/1/5 17:58,915750,-56,140,,,
E2801160600002073A4A0519,2,1970/1/5 17:58,915750,-56,140,,,
E2801160600002073A4A0519,2,1970/1/5 17:58,915750,-56,140,,,
E2801160600002073A4A0519,2,1970/1/5 17:58,915750,-56,140,,,
E2801160600002073A4A0519,2,1970/1/5 17:58,915750,-56,140,,,
E2801160600002073A4A0519,3,1970/1/5 17:58,915750,-57,95,,,
E2801160600002073A4A0519,3,1970/1/5 17:58,915750,-57,95,,,
E2801160600002073A4A0519,3,1970/1/5 17:58,915750,-57,95,,,
E2801160600002073A4A0519,3,1970/1/5 17:58,915750,-57,95,,,
E2801160600002073A4A0519,3,1970/1/5 17:58,915750,-57,95,,,
E2801160600002073A4A0519,3,1970/1/5 17:58,915750,-57,95,,,
E2801160600002073A4A0519,3,1970/1/5 17:58,915750,-57,95,,,
E2801160600002073A4A0519,3,1970/1/5 17:58,915750,-57,95,,,
E2801160600002073A4A0519,3,1970/1/5 17:58,915750,-57,95,,,
E2801160600002073A4A0519,3,1970/1/5 17:58,915750,-57,95,,,
E2801160600002073A4A0519,3,1970/1/5 17:58,915750,-57,95,,,
E2801160600002073A4A0529,3,1970/1/5 17:58,915750,-68,36,,,
E2801160600002073A4A0529,3,1970/1/5 17:58,915750,-68,36,,,
E2801160600002073A4A0529,3,1970/1/5 17:58,915750,-68,36,,,
E2801160600002073A4A0529,3,1970/1/5 17:58,915750,-68,36,,,
E2801160600002073A4A0529,3,1970/1/5 17:58,915750,-68,36,,,
E2801160600002073A4A0529,3,1970/1/5 17:58,915750,-68,36,,,
E2801160600002073A4A0529,3,1970/1/5 17:58,915750,-68,36,,,
E2801160600002073A4A0529,3,1970/1/5 17:58,915750,-68,36,,,
E2801160600002073A4A0529,3,1970/1/5 17:58,915750,-68,36,,,
E2801160600002073A4A0529,3,1970/1/5 17:58,915750,-68,36,,,
E2801160600002073A4A0529,3,1970/1/5 17:58,915750,-68,36,,,
E2801160600002073A4A0539,3,1970/1/5 17:58,915750,-79,109,,,
E2801160600002073A4A0539,3,1970/1/5 17:58,915750,-79,109,,,
E2801160600002073A4A0539,3,1970/1/5 17:58,915750,-79,109,,,
E2801160600002073A4A0539,3,1970/1/5 17:58,915750,-79,109,,,
E2801160600002073A4A0539,3,1970/1/5 17:58,915750,-79,109,,,
E2801160600002073A4A0539,3,1970/1/5 17:58,915750,-79,109,,,
