EPC,Ant,Time,Frequency,RSSI,Phase,,,
E200497E93D292B134FFAA4A,1,1970/1/5 17:56,908750,-75,30,,,
E200497E93D292B134FFAA4A,1,1970/1/5 17:56,908750,-75,30,,,
E200497E93D292B134FFAA4A,1,1970/1/5 17:56,908750,-75,30,,,
E200497E93D292B134FFAA4A,1,1970/1/5 17:56,908750,-75,30,,,
E200497E93D292B134FFAA4A,1,1970/1/5 17:56,908750,-75,30,,,
E200497E93D292B134FFAA4A,1,1970/1/5 17:56,908750,-75,30,,,
E200497E93D292B134FFAA4A,1,1970/1/5 17:56,908750,-75,30,,,
E2000017221200910820C6AD,1,1970/1/5 17:56,908750,-73,109,,,
E2000017221200910820C6AD,1,1970/1/5 17:56,908750,-73,109,,,
E2000017221200910820C6AD,1,1970/1/5 17:56,908750,-73,109,,,
E2000017221200910820C6AD,1,1970/1/5 17:56,908750,-73,109,,,
E2000017221200910820C6AD,1,1970/1/5 17:56,908750,-73,109,,,
E2000017221200910820C6AD,1,1970/1/5 17:56,908750,-73,109,,,
E2000017221200910820C6AD,1,1970/1/5 17:56,908750,-73,109,,,
E2000017221200910820C6AD,1,1970/1/5 17:56,908750,-73,109,,,
E200497E93D28EF134FFAA3B,1,1970/1/5 17:56,908750,-75,50,,,
E200497E93D28EF134FFAA3B,1,1970/1/5 17:56,908750,-75,50,,,
E200497E93D28EF134FFAA3B,1,1970/1/5 17:56,908750,-75,50,,,
E200497E93D28EF134FFAA3B,1,1970/1/5 17:56,908750,-75,50,,,
E200497E93D28EF134FFAA3B,1,1970/1/5 17:56,908750,-75,50,,,
E200497E93D28EF134FFAA3B,1,1970/1/5 17:56,908750,-75,50,,,
E200497E93D28EF134FFAA3B,1,1970/1/5 17:56,908750,-75,50,,,
E200497E93D28EF134FFAA3B,1,1970/1/5 17:56,908750,-75,50,,,
E2801160600002073A4A0539,1,1970/1/5 17:56,908750,-74,25,,,
E2801160600002073A4A0539,1,1970/1/5 17:56,908750,-74,25,,,
E2801160600002073A4A0539,1,1970/1/5 17:56,908750,-74,25,,,
E2801160600002073A4A0539,1,1970/1/5 17:56,908750,-74,25,,,
E2801160600002073A4A0539,1,1970/1/5 17:56,908750,-74,25,,,
E2801160600002073A4A0539,1,1970/1/5 17:56,908750,-74,25,,,
E2801160600002073A4A0539,1,1970/1/5 17:56,908750,-74,25,,,
E2801160600002073A4A0539,1,1970/1/5 17:56,908750,-74,25,,,
E2801160600002073A4A0529,2,1970/1/5 17:56,908750,-62,120,,,
E2801160600002073A4A0529,2,1970/1/5 17:56,908750,-62,120,,,
E2801160600002073A4A0529,2,1970/1/5 17:56,908750,-62,120,,,
E2801160600002073A4A0529,2,1970/1/5 17:56,908750,-62,120,,,
E2801160600002073A4A0529,2,1970/1/5 17:56,908750,-62,120,,,
E2801160600002073A4A0529,2,1970/1/5 17:56,908750,-62,120,,,
E2801160600002073A4A0529,2,1970/1/5 17:56,908750,-62,120,,,
E2801160600002073A4A0529,2,1970/1/5 17:56,908750,-62,120,,,
E2801160600002073A4A0519,2,1970/1/5 17:56,908750,-57,135,,,
E2801160600002073A4A0519,2,1970/1/5 17:56,908750,-57,135,,,
E2801160600002073A4A0519,2,1970/1/5 17:56,908750,-57,135,,,
E2801160600002073A4A0519,2,1970/1/5 17:56,908750,-57,135,,,
E2801160600002073A4A0519,2,1970/1/5 17:56,908750,-57,135,,,
E2801160600002073A4A0519,2,1970/1/5 17:56,908750,-57,135,,,
E2801160600002073A4A0519,2,1970/1/5 17:56,908750,-57,135,,,
E2801160600002073A4A0519,2,1970/1/5 17:56,908750,-57,135,,,
E2801160600002073A4A0529,3,1970/1/5 17:56,908750,-66,50,,,
E2801160600002073A4A0529,3,1970/1/5 17:56,908750,-66,50,,,
E2801160600002073A4A0529,3,1970/1/5 17:56,908750,-66,50,,,
E2801160600002073A4A0529,3,1970/1/5 17:56,908750,-66,50,,,
E2801160600002073A4A0529,3,1970/1/5 17:56,908750,-66,50,,,
E2801160600002073A4A0529,3,1970/1/5 17:56,908750,-66,50,,,
E2801160600002073A4A0529,3,1970/1/5 17:56,908750,-66,50,,,
E2801160600002073A4A0529,3,1970/1/5 17:56,908750,-66,50,,,
E2801160600002073A4A0519,3,1970/1/5 17:56,908750,-57,90,,,
E2801160600002073A4A0519,3,1970/1/5 17:56,908750,-57,90,,,
E2801160600002073A4A0519,3,1970/1/5 17:56,908750,-57,90,,,
E2801160600002073A4A0519,3,1970/1/5 17:56,908750,-57,90,,,
