EPC,Ant,Time,Frequency,RSSI,Phase,,,
E2801160600002073A4A0519,1,1970/1/5 17:57,917250,-40,101,,,
E2801160600002073A4A0519,1,1970/1/5 17:57,917250,-40,101,,,
E2801160600002073A4A0519,1,1970/1/5 17:57,917250,-40,101,,,
E2801160600002073A4A0519,1,1970/1/5 17:57,917250,-40,101,,,
E2801160600002073A4A0519,1,1970/1/5 17:57,917250,-40,101,,,
E2801160600002073A4A0519,1,1970/1/5 17:57,917250,-40,101,,,
E2801160600002073A4A0519,1,1970/1/5 17:57,917250,-40,101,,,
E2801160600002073A4A0519,1,1970/1/5 17:57,917250,-40,101,,,
E2801160600002073A4A0519,1,1970/1/5 17:57,917250,-40,101,,,
E2801160600002073A4A0539,1,1970/1/5 17:57,917250,-73,137,,,
E2801160600002073A4A0539,1,1970/1/5 17:57,917250,-73,137,,,
E2801160600002073A4A0539,1,1970/1/5 17:57,917250,-73,137,,,
E2801160600002073A4A0539,1,1970/1/5 17:57,917250,-73,137,,,
E2801160600002073A4A0539,1,1970/1/5 17:57,917250,-73,137,,,
E2801160600002073A4A0539,1,1970/1/5 17:57,917250,-73,137,,,
E2801160600002073A4A0539,1,1970/1/5 17:57,917250,-73,137,,,
E2801160600002073A4A0539,1,1970/1/5 17:57,917250,-73,137,,,
E2801160600002073A4A0539,1,1970/1/5 17:57,917250,-73,137,,,
E2801160600002073A4A0539,1,1970/1/5 17:57,917250,-73,137,,,
E2801160600002073A4A0519,2,1970/1/5 17:57,917250,-56,109,,,
E2801160600002073A4A0519,2,1970/1/5 17:57,917250,-56,109,,,
E2801160600002073A4A0519,2,1970/1/5 17:57,917250,-56,109,,,
E2801160600002073A4A0519,2,1970/1/5 17:57,917250,-56,109,,,
E2801160600002073A4A0519,2,1970/1/5 17:57,917250,-56,109,,,
E2801160600002073A4A0519,2,1970/1/5 17:57,917250,-56,109,,,
E2801160600002073A4A0519,2,1970/1/5 17:57,917250,-56,109,,,
E2801160600002073A4A0519,2,1970/1/5 17:57,917250,-56,109,,,
E2801160600002073A4A0519,2,1970/1/5 17:57,917250,-56,109,,,
E2801160600002073A4A0519,2,1970/1/5 17:57,917250,-56,109,,,
E2801160600002073A4A0529,2,1970/1/5 17:57,917250,-62,95,,,
E2801160600002073A4A0529,2,1970/1/5 17:57,917250,-62,95,,,
E2801160600002073A4A0529,2,1970/1/5 17:57,917250,-62,95,,,
E2801160600002073A4A0529,2,1970/1/5 17:57,917250,-62,95,,,
E2801160600002073A4A0529,2,1970/1/5 17:57,917250,-62,95,,,
E2801160600002073A4A0529,2,1970/1/5 17:57,917250,-62,95,,,
E2801160600002073A4A0529,2,1970/1/5 17:57,917250,-62,95,,,
E2801160600002073A4A0529,2,1970/1/5 17:57,917250,-62,95,,,
E2801160600002073A4A0529,2,1970/1/5 17:57,917250,-62,95,,,
E2801160600002073A4A0529,2,1970/1/5 17:57,917250,-62,95,,,
E2801160600002073A4A0519,3,1970/1/5 17:57,917250,-58,56,,,
E2801160600002073A4A0519,3,1970/1/5 17:57,917250,-58,56,,,
E2801160600002073A4A0519,3,1970/1/5 17:57,917250,-58,56,,,
E2801160600002073A4A0519,3,1970/1/5 17:57,917250,-58,56,,,
E2801160600002073A4A0519,3,1970/1/5 17:57,917250,-58,56,,,
E2801160600002073A4A0519,3,1970/1/5 17:57,917250,-58,56,,,
E2801160600002073A4A0519,3,1970/1/5 17:57,917250,-58,56,,,
E2801160600002073A4A0519,3,1970/1/5 17:57,917250,-58,56,,,
E2801160600002073A4A0519,3,1970/1/5 17:57,917250,-58,56,,,
E2801160600002073A4A0519,3,1970/1/5 17:57,917250,-58,56,,,
E2801160600002073A4A0529,3,1970/1/5 17:57,917250,-69,28,,,
E2801160600002073A4A0529,3,1970/1/5 17:57,917250,-69,28,,,
E2801160600002073A4A0529,3,1970/1/5 17:57,917250,-69,28,,,
E2801160600002073A4A0529,3,1970/1/5 17:57,917250,-69,28,,,
E2801160600002073A4A0529,3,1970/1/5 17:57,917250,-69,28,,,
E2801160600002073A4A0529,3,1970/1/5 17:57,917250,-69,28,,,
E2801160600002073A4A0529,3,1970/1/5 17:57,917250,-69,28,,,
E2801160600002073A4A0529,3,1970/1/5 17:57,917250,-69,28,,,
E2801160600002073A4A0529,3,1970/1/5 17:57,917250,-69,28,,,
E2801160600002073A4A0529,3,1970/1/5 17:57,917250,-69,28,,,
E2801160600002073A4A0539,3,1970/1/5 17:57,917250,-79,33,,,
E2801160600002073A4A0539,3,1970/1/5 17:57,917250,-79,33,,,
E2801160600002073A4A0539,3,1970/1/5 17:57,917250,-79,33,,,
E2801160600002073A4A0539,3,1970/1/5 17:57,917250,-79,33,,,
E2801160600002073A4A0539,3,1970/1/5 17:57,917250,-79,33,,,
E2801160600002073A4A0539,3,1970/1/5 17:57,917250,-79,33,,,
E2801160600002073A4A0539,3,1970/1/5 17:57,917250,-79,33,,,
E2801160600002073A4A0539,3,1970/1/5 17:57,917250,-79,33,,,
E2801160600002073A4A0539,3,1970/1/5 17:57,917250,-79,33,,,
E2801160600002073A4A0539,3,1970/1/5 17:57,917250,-79,33,,,
E2801160600002073A4A0519,1,1970/1/5 17:57,917250,-40,104,,,
E2801160600002073A4A0519,1,1970/1/5 17:57,917250,-40,104,,,
E2801160600002073A4A0519,1,1970/1/5 17:57,917250,-40,104,,,
E2801160600002073A4A0519,1,1970/1/5 17:57,917250,-40,104,,,
E2801160600002073A4A0519,1,1970/1/5 17:57,917250,-40,104,,,
E2801160600002073A4A0519,1,1970/1/5 17:57,917250,-40,104,,,
E2801160600002073A4A0519,1,1970/1/5 17:57,917250,-40,104,,,
E2801160600002073A4A0519,1,1970/1/5 17:57,917250,-40,104,,,
E2801160600002073A4A0519,1,1970/1/5 17:57,917250,-40,104,,,
E2801160600002073A4A0519,1,1970/1/5 17:57,917250,-40,104,,,
E2801160600002073A4A0529,1,1970/1/5 17:57,917250,-36,109,,,
E2801160600002073A4A0529,1,1970/1/5 17:57,917250,-36,109,,,
E2801160600002073A4A0529,1,1970/1/5 17:57,917250,-36,109,,,
E2801160600002073A4A0529,1,1970/1/5 17:57,917250,-36,109,,,
E2801160600002073A4A0529,1,1970/1/5 17:57,917250,-36,109,,,
E2801160600002073A4A0529,1,1970/1/5 17:57,917250,-36,109,,,
E2801160600002073A4A0529,1,1970/1/5 17:57,917250,-36,109,,,
