EPC,Ant,Time,Frequency,RSSI,Phase,,,
E2801160600002073A4A0529,1,1970/1/5 17:54,921750,-37,177,,,
E2801160600002073A4A0529,1,1970/1/5 17:54,921750,-37,177,,,
E2801160600002073A4A0529,1,1970/1/5 17:54,921750,-37,177,,,
E2801160600002073A4A0529,2,1970/1/5 17:54,921750,-61,146,,,
E2801160600002073A4A0529,2,1970/1/5 17:54,921750,-61,146,,,
E2801160600002073A4A0529,2,1970/1/5 17:54,921750,-61,146,,,
E2801160600002073A4A0519,2,1970/1/5 17:54,921750,-55,157,,,
E2801160600002073A4A0519,2,1970/1/5 17:54,921750,-55,157,,,
E2801160600002073A4A0519,2,1970/1/5 17:54,921750,-55,157,,,
E2801160600002073A4A0539,3,1970/1/5 17:54,913750,-79,168,,,
E2801160600002073A4A0539,3,1970/1/5 17:54,913750,-79,168,,,
E2801160600002073A4A0539,3,1970/1/5 17:54,913750,-79,168,,,
E2801160600002073A4A0529,3,1970/1/5 17:54,913750,-67,101,,,
E2801160600002073A4A0529,3,1970/1/5 17:54,913750,-67,101,,,
E2801160600002073A4A0529,3,1970/1/5 17:54,913750,-67,101,,,
E2801160600002073A4A0519,3,1970/1/5 17:54,913750,-57,132,,,
E2801160600002073A4A0519,3,1970/1/5 17:54,913750,-57,132,,,
E2801160600002073A4A0519,3,1970/1/5 17:54,913750,-57,132,,,
E2801160600002073A4A0529,1,1970/1/5 17:54,913750,-36,160,,,
E2801160600002073A4A0529,1,1970/1/5 17:54,913750,-36,160,,,
E2801160600002073A4A0529,1,1970/1/5 17:54,913750,-36,160,,,
E2801160600002073A4A0519,1,1970/1/5 17:54,913750,-38,160,,,
E2801160600002073A4A0519,1,1970/1/5 17:54,913750,-38,160,,,
E2801160600002073A4A0519,1,1970/1/5 17:54,913750,-38,160,,,
E2801160600002073A4A0539,1,1970/1/5 17:54,913750,-72,157,,,
E2801160600002073A4A0539,1,1970/1/5 17:54,913750,-72,157,,,
E2801160600002073A4A0539,1,1970/1/5 17:54,913750,-72,157,,,
E2801160600002073A4A0529,2,1970/1/5 17:54,913750,-63,163,,,
E2801160600002073A4A0529,2,1970/1/5 17:54,913750,-63,163,,,
E2801160600002073A4A0529,2,1970/1/5 17:54,913750,-63,163,,,
E2801160600002073A4A0519,2,1970/1/5 17:54,913750,-57,2,,,
E2801160600002073A4A0519,2,1970/1/5 17:54,913750,-57,2,,,
E2801160600002073A4A0519,2,1970/1/5 17:54,913750,-57,2,,,
E2801160600002073A4A0519,3,1970/1/5 17:54,913750,-57,132,,,
E2801160600002073A4A0519,3,1970/1/5 17:54,913750,-57,132,,,
E2801160600002073A4A0519,3,1970/1/5 17:54,913750,-57,132,,,
E2801160600002073A4A0529,3,1970/1/5 17:54,913750,-67,126,,,
E2801160600002073A4A0529,3,1970/1/5 17:54,913750,-67,126,,,
