EPC,Ant,Time,Frequency,RSSI,Phase,,,
E2801160600002073A4A0539,1,1970/1/5 17:58,913750,-71,137,,,
E2801160600002073A4A0539,1,1970/1/5 17:58,913750,-71,137,,,
E2801160600002073A4A0539,1,1970/1/5 17:58,913750,-71,137,,,
E2801160600002073A4A0539,1,1970/1/5 17:58,913750,-71,137,,,
E2801160600002073A4A0539,1,1970/1/5 17:58,913750,-71,137,,,
E2801160600002073A4A0539,1,1970/1/5 17:58,913750,-71,137,,,
E2801160600002073A4A0539,1,1970/1/5 17:58,913750,-71,137,,,
E2801160600002073A4A0539,1,1970/1/5 17:58,913750,-71,137,,,
E2801160600002073A4A0539,1,1970/1/5 17:58,913750,-71,137,,,
E2801160600002073A4A0539,1,1970/1/5 17:58,913750,-71,137,,,
E2801160600002073A4A0519,2,1970/1/5 17:58,913750,-57,22,,,
E2801160600002073A4A0519,2,1970/1/5 17:58,913750,-57,22,,,
E2801160600002073A4A0519,2,1970/1/5 17:58,913750,-57,22,,,
E2801160600002073A4A0519,2,1970/1/5 17:58,913750,-57,22,,,
E2801160600002073A4A0519,2,1970/1/5 17:58,913750,-57,22,,,
E2801160600002073A4A0519,2,1970/1/5 17:58,913750,-57,22,,,
E2801160600002073A4A0519,2,1970/1/5 17:58,913750,-57,22,,,
E2801160600002073A4A0519,2,1970/1/5 17:58,913750,-57,22,,,
E2801160600002073A4A0519,2,1970/1/5 17:58,913750,-57,22,,,
E2801160600002073A4A0519,2,1970/1/5 17:58,913750,-57,22,,,
E2801160600002073A4A0519,2,1970/1/5 17:58,913750,-57,22,,,
E2801160600002073A4A0519,2,1970/1/5 17:58,913750,-57,22,,,
E2801160600002073A4A0529,2,1970/1/5 17:58,913750,-63,174,,,
E2801160600002073A4A0529,2,1970/1/5 17:58,913750,-63,174,,,
E2801160600002073A4A0529,2,1970/1/5 17:58,913750,-63,174,,,
E2801160600002073A4A0529,2,1970/1/5 17:58,913750,-63,174,,,
E2801160600002073A4A0529,2,1970/1/5 17:58,913750,-63,174,,,
E2801160600002073A4A0529,2,1970/1/5 17:58,913750,-63,174,,,
E2801160600002073A4A0529,2,1970/1/5 17:58,913750,-63,174,,,
E2801160600002073A4A0529,2,1970/1/5 17:58,913750,-63,174,,,
E2801160600002073A4A0529,2,1970/1/5 17:58,913750,-63,174,,,
E2801160600002073A4A0529,2,1970/1/5 17:58,913750,-63,174,,,
E2801160600002073A4A0529,2,1970/1/5 17:58,913750,-63,174,,,
E2801160600002073A4A0529,2,1970/1/5 17:58,913750,-63,174,,,
E2801160600002073A4A0529,3,1970/1/5 17:58,913750,-69,115,,,
E2801160600002073A4A0529,3,1970/1/5 17:58,913750,-69,115,,,
E2801160600002073A4A0529,3,1970/1/5 17:58,913750,-69,115,,,
E2801160600002073A4A0529,3,1970/1/5 17:58,913750,-69,115,,,
E2801160600002073A4A0529,3,1970/1/5 17:58,913750,-69,115,,,
E2801160600002073A4A0529,3,1970/1/5 17:58,913750,-69,115,,,
E2801160600002073A4A0529,3,1970/1/5 17:58,913750,-69,115,,,
E2801160600002073A4A0529,3,1970/1/5 17:58,913750,-69,115,,,
E2801160600002073A4A0529,3,1970/1/5 17:58,913750,-69,115,,,
E2801160600002073A4A0529,3,1970/1/5 17:58,913750,-69,115,,,
E2801160600002073A4A0529,3,1970/1/5 17:58,913750,-69,115,,,
E2801160600002073A4A0529,3,1970/1/5 17:58,913750,-69,115,,,
E2801160600002073A4A0519,3,1970/1/5 17:58,913750,-58,163,,,
E2801160600002073A4A0519,3,1970/1/5 17:58,913750,-58,163,,,
E2801160600002073A4A0519,3,1970/1/5 17:58,913750,-58,163,,,
E2801160600002073A4A0519,3,1970/1/5 17:58,913750,-58,163,,,
E2801160600002073A4A0519,3,1970/1/5 17:58,913750,-58,163,,,
E2801160600002073A4A0519,3,1970/1/5 17:58,913750,-58,163,,,
E2801160600002073A4A0519,3,1970/1/5 17:58,913750,-58,163,,,
E2801160600002073A4A0519,3,1970/1/5 17:58,913750,-58,163,,,
E2801160600002073A4A0519,3,1970/1/5 17:58,913750,-58,163,,,
E2801160600002073A4A0519,3,1970/1/5 17:58,913750,-58,163,,,
E2801160600002073A4A0519,3,1970/1/5 17:58,913750,-58,163,,,
E2801160600002073A4A0519,3,1970/1/5 17:58,913750,-58,163,,,
E2801160600002073A4A0539,3,1970/1/5 17:58,913750,-79,33,,,
E2801160600002073A4A0539,3,1970/1/5 17:58,913750,-79,33,,,
E2801160600002073A4A0539,3,1970/1/5 17:58,913750,-79,33,,,
E2801160600002073A4A0539,3,1970/1/5 17:58,913750,-79,33,,,
E2801160600002073A4A0539,3,1970/1/5 17:58,913750,-79,33,,,
E2801160600002073A4A0539,3,1970/1/5 17:58,913750,-79,33,,,
E2801160600002073A4A0539,3,1970/1/5 17:58,913750,-79,33,,,
E2801160600002073A4A0539,3,1970/1/5 17:58,913750,-79,33,,,
E2801160600002073A4A0539,3,1970/1/5 17:58,913750,-79,33,,,
E2801160600002073A4A0539,3,1970/1/5 17:58,913750,-79,33,,,
E2801160600002073A4A0539,3,1970/1/5 17:58,913750,-79,33,,,
E2801160600002073A4A0539,3,1970/1/5 17:58,913750,-79,33,,,
E2801160600002073A4A0519,1,1970/1/5 17:58,913750,-39,157,,,
E2801160600002073A4A0519,1,1970/1/5 17:58,913750,-39,157,,,
E2801160600002073A4A0519,1,1970/1/5 17:58,913750,-39,157,,,
E2801160600002073A4A0519,1,1970/1/5 17:58,913750,-39,157,,,
E2801160600002073A4A0519,1,1970/1/5 17:58,913750,-39,157,,,
E2801160600002073A4A0519,1,1970/1/5 17:58,913750,-39,157,,,
E2801160600002073A4A0519,1,1970/1/5 17:58,913750,-39,157,,,
E2801160600002073A4A0519,1,1970/1/5 17:58,913750,-39,157,,,
E2801160600002073A4A0519,1,1970/1/5 17:58,913750,-39,157,,,
E2801160600002073A4A0519,1,1970/1/5 17:58,913750,-39,157,,,
E2801160600002073A4A0519,1,1970/1/5 17:58,913750,-39,157,,,
E2801160600002073A4A0519,1,1970/1/5 17:58,913750,-39,157,,,
E2801160600002073A4A0529,1,1970/1/5 17:58,913750,-36,165,,,
E2801160600002073A4A0529,1,1970/1/5 17:58,913750,-36,165,,,
E2801160600002073A4A0529,1,1970/1/5 17:58,913750,-36,165,,,
E2801160600002073A4A0529,1,1970/1/5 17:58,913750,-36,165,,,
E2801160600002073A4A0529,1,1970/1/5 17:58,913750,-36,165,,,
E2801160600002073A4A0529,1,1970/1/5 17:58,913750,-36,165,,,
E2801160600002073A4A0529,1,1970/1/5 17:58,913750,-36,165,,,
E2801160600002073A4A0529,1,1970/1/5 17:58,913750,-36,165,,,
E2801160600002073A4A0529,1,1970/1/5 17:58,913750,-36,165,,,
E2801160600002073A4A0529,1,1970/1/5 17:58,913750,-36,165,,,
E2801160600002073A4A0529,1,1970/1/5 17:58,913750,-36,165,,,
E2801160600002073A4A0529,1,1970/1/5 17:58,913750,-36,165,,,
E2801160600002073A4A0539,1,1970/1/5 17:58,913750,-72,177,,,
E2801160600002073A4A0539,1,1970/1/5 17:58,913750,-72,177,,,
E2801160600002073A4A0539,1,1970/1/5 17:58,913750,-72,177,,,
E2801160600002073A4A0539,1,1970/1/5 17:58,913750,-72,177,,,
E2801160600002073A4A0539,1,1970/1/5 17:58,913750,-72,177,,,
E2801160600002073A4A0539,1,1970/1/5 17:58,913750,-72,177,,,
E2801160600002073A4A0539,1,1970/1/5 17:58,913750,-72,177,,,
E2801160600002073A4A0539,1,1970/1/5 17:58,913750,-72,177,,,
E2801160600002073A4A0539,1,1970/1/5 17:58,913750,-72,177,,,
E2801160600002073A4A0539,1,1970/1/5 17:58,913750,-72,177,,,
E2801160600002073A4A0539,1,1970/1/5 17:58,913750,-72,177,,,
E2801160600002073A4A0539,1,1970/1/5 17:58,913750,-72,177,,,
E2801160600002073A4A0519,2,1970/1/5 17:58,913750,-57,8,,,
E2801160600002073A4A0519,2,1970/1/5 17:58,913750,-57,8,,,
E2801160600002073A4A0519,2,1970/1/5 17:58,913750,-57,8,,,
E2801160600002073A4A0519,2,1970/1/5 17:58,913750,-57,8,,,
E2801160600002073A4A0519,2,1970/1/5 17:58,913750,-57,8,,,
E2801160600002073A4A0519,2,1970/1/5 17:58,913750,-57,8,,,
E2801160600002073A4A0519,2,1970/1/5 17:58,913750,-57,8,,,
E2801160600002073A4A0519,2,1970/1/5 17:58,913750,-57,8,,,
