EPC,Ant,Time,Frequency,RSSI,Phase,,,
E2000017221200910820C6AD,1,1970/1/5 17:55,908750,-72,92,,,
E2000017221200910820C6AD,1,1970/1/5 17:55,908750,-72,92,,,
E2000017221200910820C6AD,1,1970/1/5 17:55,908750,-72,92,,,
E2000017221200910820C6AD,1,1970/1/5 17:55,908750,-72,92,,,
E2000017221200910820C6AD,1,1970/1/5 17:55,908750,-72,92,,,
E2801160600002073A4A0529,2,1970/1/5 17:55,908750,-62,109,,,
E2801160600002073A4A0529,2,1970/1/5 17:55,908750,-62,109,,,
E2801160600002073A4A0529,2,1970/1/5 17:55,908750,-62,109,,,
E2801160600002073A4A0529,2,1970/1/5 17:55,908750,-62,109,,,
E2801160600002073A4A0529,2,1970/1/5 17:55,908750,-62,109,,,
E2801160600002073A4A0519,2,1970/1/5 17:55,908750,-56,132,,,
E2801160600002073A4A0519,2,1970/1/5 17:55,908750,-56,132,,,
E2801160600002073A4A0519,2,1970/1/5 17:55,908750,-56,132,,,
E2801160600002073A4A0519,2,1970/1/5 17:55,908750,-56,132,,,
E2801160600002073A4A0519,2,1970/1/5 17:55,908750,-56,132,,,
E2801160600002073A4A0519,3,1970/1/5 17:55,908750,-57,84,,,
E2801160600002073A4A0519,3,1970/1/5 17:55,908750,-57,84,,,
E2801160600002073A4A0519,3,1970/1/5 17:55,908750,-57,84,,,
E2801160600002073A4A0519,3,1970/1/5 17:55,908750,-57,84,,,
E2801160600002073A4A0519,3,1970/1/5 17:55,908750,-57,84,,,
E2801160600002073A4A0519,1,1970/1/5 17:55,924750,-40,120,,,
E2801160600002073A4A0519,1,1970/1/5 17:55,924750,-40,120,,,
E2801160600002073A4A0519,1,1970/1/5 17:55,924750,-40,120,,,
E2801160600002073A4A0519,1,1970/1/5 17:55,924750,-40,120,,,
E2801160600002073A4A0519,1,1970/1/5 17:55,924750,-40,120,,,
E2801160600002073A4A0529,1,1970/1/5 17:55,924750,-36,129,,,
E2801160600002073A4A0529,1,1970/1/5 17:55,924750,-36,129,,,
E2801160600002073A4A0529,1,1970/1/5 17:55,924750,-36,129,,,
E2801160600002073A4A0529,1,1970/1/5 17:55,924750,-36,129,,,
E2801160600002073A4A0529,1,1970/1/5 17:55,924750,-36,129,,,
E2801160600002073A4A0519,2,1970/1/5 17:55,924750,-57,73,,,
E2801160600002073A4A0519,2,1970/1/5 17:55,924750,-57,73,,,
E2801160600002073A4A0519,2,1970/1/5 17:55,924750,-57,73,,,
E2801160600002073A4A0519,2,1970/1/5 17:55,924750,-57,73,,,
E2801160600002073A4A0519,2,1970/1/5 17:55,924750,-57,73,,,
E2801160600002073A4A0529,2,1970/1/5 17:55,924750,-63,50,,,
E2801160600002073A4A0529,2,1970/1/5 17:55,924750,-63,50,,,
E2801160600002073A4A0529,2,1970/1/5 17:55,924750,-63,50,,,
E2801160600002073A4A0529,2,1970/1/5 17:55,924750,-63,50,,,
E2801160600002073A4A0529,2,1970/1/5 17:55,924750,-63,50,,,
E2801160600002073A4A0519,3,1970/1/5 17:55,924750,-57,59,,,
E2801160600002073A4A0519,3,1970/1/5 17:55,924750,-57,59,,,
E2801160600002073A4A0519,3,1970/1/5 17:55,924750,-57,59,,,
E2801160600002073A4A0519,3,1970/1/5 17:55,924750,-57,59,,,
E2801160600002073A4A0519,3,1970/1/5 17:55,924750,-57,59,,,
