EPC,Ant,Time,Frequency,RSSI,Phase,,,
E200497E93D292B134FFAA4A,1,1970/1/5 17:58,907250,-75,87,,,
E200497E93D292B134FFAA4A,1,1970/1/5 17:58,907250,-75,87,,,
E200497E93D292B134FFAA4A,1,1970/1/5 17:58,907250,-75,87,,,
E200497E93D292B134FFAA4A,1,1970/1/5 17:58,907250,-75,87,,,
E200497E93D292B134FFAA4A,1,1970/1/5 17:58,907250,-75,87,,,
E200497E93D292B134FFAA4A,1,1970/1/5 17:58,907250,-75,87,,,
E200497E93D292B134FFAA4A,1,1970/1/5 17:58,907250,-75,87,,,
E2801160600002073A4A0519,2,1970/1/5 17:58,907250,-56,11,,,
E2801160600002073A4A0519,2,1970/1/5 17:58,907250,-56,11,,,
E2801160600002073A4A0519,2,1970/1/5 17:58,907250,-56,11,,,
E2801160600002073A4A0519,2,1970/1/5 17:58,907250,-56,11,,,
E2801160600002073A4A0519,2,1970/1/5 17:58,907250,-56,11,,,
E2801160600002073A4A0519,2,1970/1/5 17:58,907250,-56,11,,,
E2801160600002073A4A0519,2,1970/1/5 17:58,907250,-56,11,,,
E2801160600002073A4A0519,2,1970/1/5 17:58,907250,-56,11,,,
E2801160600002073A4A0519,2,1970/1/5 17:58,907250,-56,11,,,
E2801160600002073A4A0519,2,1970/1/5 17:58,907250,-56,11,,,
E2801160600002073A4A0519,2,1970/1/5 17:58,907250,-56,11,,,
E2801160600002073A4A0519,2,1970/1/5 17:58,907250,-56,11,,,
E2801160600002073A4A0529,2,1970/1/5 17:58,907250,-62,174,,,
E2801160600002073A4A0529,2,1970/1/5 17:58,907250,-62,174,,,
E2801160600002073A4A0529,2,1970/1/5 17:58,907250,-62,174,,,
E2801160600002073A4A0529,2,1970/1/5 17:58,907250,-62,174,,,
E2801160600002073A4A0529,2,1970/1/5 17:58,907250,-62,174,,,
E2801160600002073A4A0529,2,1970/1/5 17:58,907250,-62,174,,,
E2801160600002073A4A0529,2,1970/1/5 17:58,907250,-62,174,,,
E2801160600002073A4A0529,2,1970/1/5 17:58,907250,-62,174,,,
E2801160600002073A4A0529,2,1970/1/5 17:58,907250,-62,174,,,
E2801160600002073A4A0529,2,1970/1/5 17:58,907250,-62,174,,,
E2801160600002073A4A0529,2,1970/1/5 17:58,907250,-62,174,,,
E2801160600002073A4A0529,2,1970/1/5 17:58,907250,-62,174,,,
E2801160600002073A4A0519,3,1970/1/5 17:58,907250,-58,160,,,
E2801160600002073A4A0519,3,1970/1/5 17:58,907250,-58,160,,,
E2801160600002073A4A0519,3,1970/1/5 17:58,907250,-58,160,,,
E2801160600002073A4A0519,3,1970/1/5 17:58,907250,-58,160,,,
E2801160600002073A4A0519,3,1970/1/5 17:58,907250,-58,160,,,
E2801160600002073A4A0519,3,1970/1/5 17:58,907250,-58,160,,,
E2801160600002073A4A0519,3,1970/1/5 17:58,907250,-58,160,,,
E2801160600002073A4A0519,3,1970/1/5 17:58,907250,-58,160,,,
E2801160600002073A4A0519,3,1970/1/5 17:58,907250,-58,160,,,
E2801160600002073A4A0519,3,1970/1/5 17:58,907250,-58,160,,,
E2801160600002073A4A0519,3,1970/1/5 17:58,907250,-58,160,,,
E2801160600002073A4A0519,3,1970/1/5 17:58,907250,-58,160,,,
E2801160600002073A4A0529,3,1970/1/5 17:58,907250,-67,106,,,
E2801160600002073A4A0529,3,1970/1/5 17:58,907250,-67,106,,,
E2801160600002073A4A0529,3,1970/1/5 17:58,907250,-67,106,,,
E2801160600002073A4A0529,3,1970/1/5 17:58,907250,-67,106,,,
E2801160600002073A4A0529,3,1970/1/5 17:58,907250,-67,106,,,
E2801160600002073A4A0529,3,1970/1/5 17:58,907250,-67,106,,,
E2801160600002073A4A0529,3,1970/1/5 17:58,907250,-67,106,,,
E2801160600002073A4A0529,3,1970/1/5 17:58,907250,-67,106,,,
E2801160600002073A4A0529,3,1970/1/5 17:58,907250,-67,106,,,
E2801160600002073A4A0529,3,1970/1/5 17:58,907250,-67,106,,,
E2801160600002073A4A0529,3,1970/1/5 17:58,907250,-67,106,,,
E2801160600002073A4A0529,3,1970/1/5 17:58,907250,-67,106,,,
E2801160600002073A4A0539,1,1970/1/5 17:58,907250,-74,25,,,
E2801160600002073A4A0539,1,1970/1/5 17:58,907250,-74,25,,,
E2801160600002073A4A0539,1,1970/1/5 17:58,907250,-74,25,,,
E2801160600002073A4A0539,1,1970/1/5 17:58,907250,-74,25,,,
E2801160600002073A4A0539,1,1970/1/5 17:58,907250,-74,25,,,
E2801160600002073A4A0539,1,1970/1/5 17:58,907250,-74,25,,,
E2801160600002073A4A0539,1,1970/1/5 17:58,907250,-74,25,,,
